name,value,units,description
scaling_parameter,10,millimeters,controls the rate of decline of transmissivity in the soil profile
saturated_hydraulic_conductivity,150,millimeters/day,saturated hydraulic conductivity of the C horizon of the soil
saturated_hydraulic_conductivity_multiplier,2,unitless,multiplier to apply to saturated hydraulic conductivity 
soil_depth_total,1,mm,total soil depth - could be 90 cm for tile depth
soil_depth_ab_horizon,0.5,mm,soil depth of AB horizon - 25% thickness
field_capacity_fraction,0.3,fraction,fraction of soil moisture or water content in the soil after excess water has drained away
porosity_fraction,0.4,fraction,fraction of soil that is porous and is always larger than field_capacity_fraction
wilting_point_fraction,0.1,fraction,fraction amount of the minimal amount of water in the soil that plants require not to wilt
latitude,40.5,degrees,mean latitude of basin
basin_area_total,3.07,square kilometers,total basin area
impervious_area_fraction,0.3,fraction,fraction of impervious area of basin
channel_length_max,1.98,kilometers,maximum channel length
channel_velocity_avg,10,kilometers/day,average channel velocity
flow_initial,1,millimeters/day,initial river flow
lake_area,0,square kilometers,total water body surface area
